"ThreadID","AuthorID","Date","Time","WC","Analytic","Clout","Authentic","Tone","ppron","i","we","you","shehe","they","posemo","negemo","anx","anger","sad","focuspast","focuspresent","focusfuture"
520222,164897,"2008-11-10","00:05",57,83.23,89.02,7.32,86.53,8.77,3.51,3.51,1.75,0,0,3.51,0,0,0,0,3.51,7.02,0
146671,72990,"2005-08-24","21:31",16,54.96,26.6,99,25.77,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0
254587,83761,"2005-12-14","22:38",88,74.31,75.24,11,1,3.41,0,0,0,0,3.41,3.41,9.09,1.14,4.55,1.14,0,10.23,1.14
773564,75628,"2011-11-20","08:57",193,77.67,88.32,31.66,95.35,5.7,0.52,2.07,2.59,0,0.52,5.7,1.04,0,0.52,0,1.55,10.36,3.11
576637,82380,"2009-03-12","00:54",102,63.46,88.03,8.46,12.71,14.71,5.88,0,0.98,5.88,1.96,2.94,3.92,0,1.96,0.98,9.8,11.76,0.98
368859,-1,"2007-03-03","03:45",518,25.92,41.6,64.11,43.35,11,7.34,0.97,1.74,0.39,0.58,2.9,1.93,0.39,0.19,0.58,2.51,15.25,1.93
426583,44157,"2007-10-08","03:17",176,68.79,78.69,19.82,25.77,5.11,0.57,3.41,0.57,0,0.57,2.84,2.84,0,0,1.14,1.7,10.23,2.27
154652,50736,"2006-02-18","14:50",109,66.14,86.45,38.62,60.56,11.01,2.75,0.92,7.34,0,0,3.67,1.83,0.92,0.92,0,1.83,10.09,1.83
404456,114627,"2007-07-19","04:10",50,88.07,34.44,6.7,91.14,2,0,0,0,0,2,8,4,2,2,0,0,8,0
277500,91777,"2006-03-12","13:02",123,17.96,62.75,25.63,83.55,5.69,1.63,3.25,0.81,0,0,5.69,2.44,1.63,0,0,2.44,17.89,2.44
346429,107758,"2006-12-09","12:10",85,54.76,40.71,22.52,86.75,5.88,4.71,0,1.18,0,0,4.71,1.18,0,0,0,4.71,16.47,0
451139,72885,"2008-01-15","01:24",186,51.74,95.71,53.37,56.22,12.37,3.23,0,7.53,0,1.61,2.69,1.08,0,0.54,0,2.15,15.05,0.54
340017,95774,"2006-11-08","07:56",41,32.57,1,71.4,25.77,7.32,7.32,0,0,0,0,2.44,2.44,2.44,0,0,7.32,9.76,2.44
252384,77054,"2005-12-06","09:50",36,96.85,71.09,11.8,77,5.56,0,0,0,5.56,0,2.78,0,0,0,0,0,11.11,0
534414,153883,"2008-11-27","08:55",319,55.69,57.46,83.98,16.76,10.34,3.13,0,1.88,0,5.33,1.57,2.19,0.31,0.94,0.31,0.94,12.23,3.13
103341,-1,"2003-12-05","03:33",120,82.35,77.33,37.98,25.77,6.67,1.67,2.5,0.83,0,1.67,0.83,0.83,0,0.83,0,3.33,15,0.83
270810,85666,"2006-02-15","01:36",50,67.87,34.44,56.63,99,6,4,0,0,0,2,6,0,0,0,0,0,12,2
486195,141644,"2008-04-30","20:18",20,15.01,15.86,43.37,99,10,10,0,0,0,0,10,0,0,0,0,5,10,10
327736,106526,"2006-12-13","05:46",3,92.84,50,1,25.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192346,55680,"2005-03-19","11:45",29,10.67,15.04,98.71,85.87,24.14,13.79,0,10.34,0,0,10.34,6.9,0,0,0,3.45,17.24,3.45
345383,83488,"2006-12-12","04:10",11,98.22,81.84,31.94,25.77,0,0,0,0,0,0,9.09,9.09,0,0,0,0,9.09,0
342682,51772,"2006-11-20","01:50",51,30.98,57.77,66.34,1,13.73,7.84,0,0,0,5.88,0,5.88,3.92,1.96,0,3.92,11.76,1.96
530558,54960,"2008-10-19","05:13",38,81.6,90.57,19.27,74.74,10.53,2.63,0,7.89,0,0,2.63,0,0,0,0,2.63,2.63,0
211660,41237,"2005-06-16","10:20",252,69.16,56.31,55.46,39.99,5.56,4.76,0,0,0,0.79,2.78,1.98,0.4,0.4,0.79,0.79,12.3,1.59
647357,166362,"2009-10-10","17:00",29,68.4,63.49,11.5,99,10.34,6.9,0,3.45,0,0,6.9,0,0,0,0,3.45,3.45,0
651844,149383,"2009-12-23","22:01",266,48.42,89.25,24.8,39.19,9.77,1.5,0,7.89,0,0.38,2.63,1.88,0.38,0,0.75,1.88,15.79,1.88
48436,8320,"2002-12-31","17:06",10,99,15.86,99,25.77,10,10,0,0,0,0,0,0,0,0,0,0,10,0
270810,44967,"2006-02-25","12:14",17,6.99,11.97,99,98.87,17.65,17.65,0,0,0,0,5.88,0,0,0,0,5.88,17.65,11.76
17832,7007,"2002-04-08","11:33",45,63.81,96.21,2.21,94.19,13.33,2.22,8.89,2.22,0,0,4.44,0,0,0,0,4.44,11.11,0
249001,75986,"2005-11-24","13:11",10,8.19,15.86,99,99,20,20,0,0,0,0,10,0,0,0,0,0,10,0
476009,83344,"2008-04-07","04:21",58,30.64,75.49,1.97,97.32,6.9,1.72,1.72,3.45,0,0,6.9,1.72,0,1.72,0,1.72,13.79,0
269552,72197,"2006-02-10","05:08",17,6.99,27.83,1,25.77,5.88,0,0,0,0,5.88,0,0,0,0,0,17.65,0,0
349374,103259,"2006-12-22","04:43",65,92.84,32.23,97.02,95.12,6.15,6.15,0,0,0,0,4.62,0,0,0,0,1.54,12.31,4.62
58817,11696,"2003-03-03","19:07",20,37.39,15.86,43.37,99,0,0,0,0,0,0,10,0,0,0,0,5,10,0
374038,120277,"2007-03-23","15:28",136,96.62,86.5,28.81,79.41,4.41,0.74,0,2.21,0,1.47,4.41,1.47,0.74,0,0,2.21,11.76,0.74
159443,2508,"2004-10-16","07:44",1,92.84,50,1,25.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710268,172460,"2010-05-22","16:19",56,28.22,42.9,13.15,6.15,10.71,3.57,1.79,1.79,0,3.57,0,1.79,0,0,1.79,7.14,12.5,0
18033,1038,"2002-04-11","00:15",422,39,60.29,89.22,33.96,12.56,4.74,0.95,4.74,0.71,1.42,3.32,2.84,0.95,1.42,0.24,1.9,9.95,2.84
558306,102446,"2009-01-06","00:34",69,62.76,76.56,35.93,25.77,4.35,0,0,1.45,1.45,1.45,1.45,1.45,0,0,1.45,2.9,8.7,1.45
121218,31718,"2004-03-11","10:46",35,98.83,61.26,43.37,78.19,2.86,0,0,2.86,0,0,2.86,0,0,0,0,2.86,5.71,0
355094,83488,"2007-01-13","22:33",31,53.27,16.66,99,1.23,6.45,3.23,0,0,0,3.23,0,3.23,0,3.23,0,6.45,19.35,0
146671,84364,"2006-05-24","00:33",77,38.26,55.15,31.94,1,6.49,3.9,0,2.6,0,0,0,7.79,0,3.9,1.3,0,12.99,0
95425,9053,"2003-10-21","16:52",70,28.22,50,8.75,52.57,8.57,4.29,0,0,0,4.29,4.29,2.86,0,0,1.43,5.71,15.71,0
274087,47350,"2006-03-01","20:09",194,70.68,56.15,28.13,12.19,5.67,2.06,0.52,1.55,1.55,0,0.52,1.55,0,0.52,0.52,4.64,7.22,0.52
443912,118472,"2007-12-12","07:44",100,27.2,75.81,6.7,63.69,11,3,2,3,0,3,2,0,0,0,0,2,17,3
555660,81973,"2010-12-29","10:55",31,97.26,97.31,8.87,99,6.45,3.23,0,3.23,0,0,6.45,0,0,0,0,0,12.9,0
331643,-1,"2006-10-12","19:48",54,65.78,35.54,87.07,60.88,3.7,3.7,0,0,0,0,3.7,1.85,0,0,0,1.85,12.96,1.85
181060,49031,"2005-01-27","21:56",63,86.96,37.54,47.57,7.46,7.94,4.76,0,0,1.59,1.59,0,1.59,0,1.59,0,6.35,7.94,0
363842,105011,"2007-02-14","07:29",38,41.02,39.61,50.35,25.77,10.53,5.26,2.63,0,2.63,0,0,0,0,0,0,7.89,5.26,5.26
224263,70832,"2005-08-12","09:55",288,94.92,58.24,10.71,2.09,1.04,0.35,0.69,0,0,0,0.69,3.47,0.35,0,0.69,3.12,6.25,0.69
722015,149762,"2010-07-01","06:24",159,56.42,47.48,25.14,36.86,5.03,3.14,0.63,0,1.26,0,3.77,3.14,0,0.63,0.63,6.92,5.66,1.26
298871,89134,"2006-06-01","20:25",22,96.29,67.52,31.94,94.75,0,0,0,0,0,0,4.55,0,0,0,0,0,4.55,4.55
271094,83270,"2006-02-16","04:42",12,60.8,79.76,23.51,25.77,16.67,8.33,0,8.33,0,0,0,0,0,0,0,0,16.67,0
199088,56824,"2005-04-19","22:46",126,56.38,65.44,42.34,25.77,11.11,3.17,3.17,0,0,4.76,3.97,3.97,0,0,2.38,7.14,9.52,1.59
717842,208884,"2010-06-16","08:38",30,41.99,15.86,82.75,84.54,10,10,0,0,0,0,3.33,0,0,0,0,0,10,3.33
206305,48423,"2005-05-21","19:14",58,35.07,11.39,36.73,58.39,6.9,3.45,1.72,0,0,1.72,1.72,0,0,0,0,1.72,15.52,0
723412,203324,"2010-07-08","19:25",17,6.99,88.03,1,1,11.76,0,0,0,11.76,0,0,5.88,0,0,0,5.88,5.88,0
175705,1582,"2005-01-05","20:59",10,51.43,84.14,3.37,99,10,0,0,10,0,0,10,0,0,0,0,10,10,0
173297,1582,"2004-12-23","07:50",83,69.77,72.65,62.38,48.1,6.02,1.2,2.41,0,0,2.41,3.61,2.41,0,2.41,0,4.82,9.64,1.2
137280,42019,"2004-06-12","03:41",23,98.12,19.23,99,1,0,0,0,0,0,0,0,8.7,4.35,0,0,0,8.7,0
350933,83488,"2006-12-29","20:47",94,65.57,80.25,37.87,45.3,9.57,0,3.19,1.06,0,5.32,2.13,1.06,0,0,0,3.19,10.64,0
266228,34292,"2006-01-28","22:47",18,99,71.09,23.51,98.27,0,0,0,0,0,0,5.56,0,0,0,0,0,11.11,0
31524,1038,"2002-08-07","07:32",91,79.84,37.09,94.81,93.91,10.99,7.69,1.1,2.2,0,0,4.4,0,0,0,0,3.3,9.89,1.1
268729,86031,"2006-02-13","23:47",139,48.96,61.34,67.6,15.63,12.23,5.76,0,2.88,2.16,1.44,2.16,2.88,0.72,0.72,0.72,7.19,10.79,1.44
519612,-1,"2008-09-03","07:28",30,77.33,95.2,82.75,99,6.67,0,3.33,3.33,0,0,10,0,0,0,0,0,6.67,0
43704,7526,"2002-11-21","07:32",147,82.38,91.31,21.8,91.78,7.48,2.04,4.08,0.68,0.68,0,4.08,0,0,0,0,4.08,12.24,0.68
373655,81054,"2007-03-24","03:48",29,15.89,15.04,99,25.77,27.59,24.14,0,3.45,0,0,6.9,6.9,0,0,3.45,3.45,17.24,3.45
258059,32249,"2005-12-29","21:58",4,1,99,1,25.77,0,0,0,0,0,0,0,0,0,0,0,25,25,0
226615,22606,"2005-09-03","19:37",95,45.44,45.8,30.23,65.65,7.37,4.21,0,0,3.16,0,3.16,1.05,1.05,0,0,10.53,11.58,1.05
175476,46836,"2005-01-04","08:00",201,41.85,82.78,22.25,5,8.46,3.48,2.49,0,0,2.49,1,2.99,0.5,0,0.5,2.49,13.43,1
275515,88229,"2006-03-07","04:16",309,86.82,63.92,8.98,62.59,5.83,2.27,0.32,1.62,1.62,0,4.53,2.59,0.32,1.29,0,3.56,6.47,0.32
194916,1613,"2005-03-30","21:58",57,88.74,56.98,19.27,58.97,5.26,3.51,0,1.75,0,0,1.75,0,0,0,0,3.51,7.02,0
171462,22606,"2004-12-15","06:01",72,41.22,66.17,81.54,77,11.11,5.56,0,2.78,0,2.78,2.78,0,0,0,0,4.17,12.5,0
315892,83488,"2006-08-08","05:10",15,3.09,97.69,1,25.77,13.33,0,0,6.67,0,6.67,0,0,0,0,0,0,20,6.67
47615,11390,"2002-12-12","16:23",56,42.31,23.75,20.57,1,12.5,7.14,0,0,0,5.36,1.79,5.36,0,5.36,0,3.57,12.5,0
482460,83287,"2008-04-18","02:25",9,17.96,1.38,98.01,1,11.11,11.11,0,0,0,0,0,11.11,0,11.11,0,11.11,0,0
132437,40194,"2004-05-14","10:13",7,5.53,7.67,99,25.77,14.29,14.29,0,0,0,0,0,0,0,0,0,0,14.29,28.57
789069,165386,"2011-03-26","15:22",45,4.38,5.99,99,1,13.33,11.11,0,0,0,2.22,0,6.67,4.44,4.44,0,11.11,6.67,2.22
80743,31799,"2004-10-17","19:11",271,77.41,51.48,35.8,53.52,5.54,1.85,0.37,0,0.37,2.95,2.95,1.48,0.37,1.11,0,2.21,8.86,0
235988,59603,"2005-10-04","04:10",41,59.67,23.22,56.3,71.55,4.88,4.88,0,0,0,0,4.88,2.44,0,0,0,2.44,12.2,0
740934,149762,"2010-10-05","10:36",123,32.57,50,79.83,71.55,9.76,4.88,0,0,0,4.88,4.07,1.63,0.81,0.81,0,2.44,13.01,0
784930,151680,"2011-03-07","22:21",38,96.69,14.62,90.72,2.51,2.63,2.63,0,0,0,0,0,2.63,0,2.63,0,5.26,13.16,0
258009,1740,"2005-12-28","22:39",157,12.94,44.94,19.89,25.77,8.28,2.55,0.64,2.55,0,2.55,3.18,3.18,0,2.55,0,2.55,15.92,0
165354,47480,"2004-11-15","09:35",80,98.13,77.33,1.28,88.96,2.5,1.25,0,1.25,0,0,3.75,0,0,0,0,1.25,6.25,0
567318,110767,"2009-02-02","20:44",46,15.38,93.58,54.89,99,10.87,2.17,2.17,6.52,0,0,8.7,0,0,0,0,0,17.39,2.17
517685,61853,"2008-09-08","03:59",9,92.84,50,4.97,99,22.22,11.11,0,0,0,11.11,11.11,0,0,0,0,0,0,0
719821,105443,"2010-11-01","07:48",300,60.8,54,67.16,25.77,8.33,4.33,0.33,0.67,1,2,2,2,0,0.67,0.67,5.33,10.67,0.67
846788,195049,"2011-11-25","17:03",58,44.57,69.76,11.5,6.54,6.9,3.45,3.45,0,0,0,1.72,3.45,1.72,1.72,0,1.72,13.79,0
780912,180500,"2011-02-22","02:44",122,32.01,91.82,14.89,40.51,13.11,0.82,2.46,8.2,0,1.64,5.74,4.92,1.64,0.82,2.46,0.82,14.75,0.82
339988,109422,"2006-11-09","01:31",21,28.22,50,13.15,95.81,9.52,9.52,0,0,0,0,4.76,0,0,0,0,4.76,9.52,0
259060,84045,"2006-01-01","19:13",144,82.09,47.22,7.84,98.27,6.25,2.08,1.39,0,0,2.78,6.94,1.39,0,0,0,1.39,11.11,0.69
253808,70523,"2005-12-12","07:12",29,39.74,36.51,1,25.77,3.45,3.45,0,0,0,0,3.45,3.45,0,3.45,0,6.9,3.45,3.45
346689,47875,"2006-12-10","14:17",168,75.78,82.96,44.96,79.89,8.33,1.19,5.95,0,0,1.19,5.36,2.38,0,0,0,2.38,9.52,1.19
344174,44157,"2006-11-28","02:21",190,96.11,41.67,50.35,55.54,3.68,1.58,0,0,0,2.11,2.11,0.53,0.53,0,0,1.58,7.89,1.05
273525,84389,"2006-02-26","20:19",91,77.57,33.02,70.18,67.32,6.59,4.4,0,1.1,0,1.1,2.2,0,0,0,0,5.49,9.89,0
211958,51393,"2011-05-22","06:15",85,99,79.49,73.15,25.77,0,0,0,0,0,0,1.18,1.18,0,0,1.18,1.18,7.06,0
410975,44157,"2007-08-13","00:41",75,40.12,55.29,20.24,1,4,2.67,1.33,0,0,0,2.67,6.67,0,1.33,1.33,2.67,8,0
169874,48423,"2004-12-08","01:08",7,92.84,92.33,13.15,25.77,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0,0
312119,103259,"2006-07-22","11:02",16,22.13,10.58,35.37,99,6.25,0,0,0,6.25,0,6.25,0,0,0,0,12.5,25,0
747948,220509,"2010-10-13","07:35",78,67.61,64.99,8.65,9.85,2.56,0,0,0,1.28,1.28,1.28,2.56,1.28,0,0,1.28,15.38,1.28
331614,56824,"2006-10-06","20:30",100,95.99,54,93.3,63.69,5,2,0,1,0,2,2,0,0,0,0,1,15,1
127115,193655,"2010-08-23","07:42",36,37.39,97.37,23.51,25.77,11.11,2.78,0,8.33,0,0,0,0,0,0,0,0,8.33,8.33
384307,-1,"2007-05-16","03:04",11,92.84,81.84,1,1,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0
407700,107392,"2007-08-06","05:04",21,28.22,1,37.24,99,14.29,9.52,0,0,0,4.76,9.52,0,0,0,0,0,14.29,0
672712,203628,"2010-01-13","06:30",100,65.29,72.57,56.63,12.51,14,7,1,1,0,5,1,2,0,0,0,6,6,1
346320,10562,"2006-12-09","17:41",26,32.33,22.08,99,25.77,19.23,11.54,0,0,3.85,3.85,0,0,0,0,0,7.69,19.23,3.85
825520,226062,"2011-08-29","09:58",6,99,50,1,99,0,0,0,0,0,0,33.33,0,0,0,0,0,16.67,0
274805,47875,"2006-03-05","23:57",39,70.85,15.25,94.81,73.64,5.13,5.13,0,0,0,0,2.56,0,0,0,0,0,12.82,0
337762,107758,"2006-11-01","16:50",10,24.86,15.86,43.37,1,10,10,0,0,0,0,0,10,0,0,0,10,30,0
286036,84194,"2006-04-15","23:44",114,79.88,63.73,7.32,6.35,5.26,0.88,0.88,0,0,3.51,0.88,2.63,0,0,0,1.75,13.16,0.88
405618,111,"2007-07-29","13:36",19,63.17,50,4.05,25.77,5.26,5.26,0,0,0,0,0,0,0,0,0,5.26,5.26,0
517685,33603,"2007-06-12","12:42",261,60.27,88.24,30.9,1,8.05,0.77,1.53,0.38,0.77,4.6,0.38,4.6,0.38,2.68,0,8.05,10.73,0.38
370207,115800,"2007-03-25","18:49",386,72.39,55.14,30.12,69.71,4.15,1.55,0.52,0.52,0.26,1.3,3.89,1.55,0.52,0.78,0.26,3.63,10.62,3.63
823416,236760,"2011-08-10","04:50",169,61.07,52.37,40.3,6.22,3.55,0.59,1.18,0,0.59,1.18,1.78,3.55,0,0.59,1.18,1.78,10.65,2.37
379544,38226,"2007-04-14","07:33",109,84.28,70.91,38.62,42.41,5.5,2.75,0.92,0,1.83,0,2.75,1.83,0,1.83,0,6.42,8.26,1.83
316005,102323,"2006-08-11","19:11",52,73.9,95.81,2.9,5.37,7.69,0,7.69,0,0,0,0,1.92,0,0,0,1.92,3.85,0
242853,37500,"2005-11-01","02:42",98,38.77,65.86,9.88,4.76,6.12,1.02,1.02,2.04,0,2.04,0,2.04,0,1.02,1.02,2.04,13.27,1.02
150629,-1,"2004-01-28","01:13",188,53.86,33.52,55.35,11.87,5.32,3.72,0.53,0.53,0,0.53,1.6,2.66,1.6,0.53,0,6.91,10.64,2.13
647112,155769,"2009-10-11","22:14",54,39.91,13.32,92.47,25.77,9.26,9.26,0,0,0,0,0,0,0,0,0,5.56,7.41,0
246894,36093,"2005-11-15","02:07",166,39.85,50,16.1,17.07,10.24,3.61,0,2.41,1.81,2.41,2.41,3.01,0,1.2,0,1.2,18.67,0.6
823462,229288,"2011-09-30","20:09",35,51.43,19.58,62.17,25.77,5.71,2.86,0,2.86,0,0,0,0,0,0,0,2.86,11.43,2.86
390159,83488,"2007-05-24","05:24",420,87.66,63.97,51.27,29.76,5.48,1.9,1.19,0.24,0.24,1.9,1.43,1.19,0,0.71,0.48,5.95,8.1,0.95
482758,166362,"2011-12-17","15:16",91,94.74,81.03,17.46,84.1,5.49,2.2,0,0,0,3.3,5.49,2.2,0,0,1.1,6.59,6.59,1.1
291796,88912,"2006-05-05","06:13",78,57.24,30.4,12.52,2.7,6.41,3.85,1.28,1.28,0,0,2.56,5.13,0,2.56,1.28,5.13,16.67,1.28
369191,83488,"2007-03-04","03:44",18,74.89,71.09,58.07,25.77,5.56,0,0,5.56,0,0,0,0,0,0,0,0,11.11,11.11
313466,84389,"2006-07-30","07:43",17,41.45,50,99,25.77,0,0,0,0,0,0,0,0,0,0,0,5.88,11.76,0
379816,103775,"2007-04-12","03:05",192,44.62,33.83,52.36,87.96,8.85,5.21,0,3.12,0,0.52,4.69,1.04,0,0,1.04,2.6,15.1,1.56
314216,84755,"2006-08-02","09:29",4,92.84,99,1,99,0,0,0,0,0,0,25,0,0,0,0,0,0,0
239650,57471,"2005-10-21","18:37",83,88.6,50,24.54,10.54,6.02,2.41,1.2,0,0,2.41,0,1.2,0,0,0,3.61,9.64,0
115134,22029,"2004-02-11","05:56",87,74.01,45.43,8.19,46.99,5.75,3.45,0,0,0,2.3,3.45,2.3,0,0,1.15,0,11.49,1.15
399271,107933,"2007-08-27","12:22",242,70.87,46.69,39.61,57.02,4.96,0.83,0,0.83,0,3.31,1.65,0,0,0,0,1.65,9.92,1.24
314216,-1,"2006-07-31","23:52",4,37.39,50,1,99,0,0,0,0,0,0,25,0,0,0,0,0,0,0
99769,1466,"2003-11-14","20:14",16,1,10.58,99,25.77,6.25,6.25,0,0,0,0,0,0,0,0,0,6.25,6.25,6.25
572531,139829,"2009-02-20","02:59",320,73.85,58.64,67.65,77.52,9.69,4.38,1.25,3.75,0,0.31,3.75,0.94,0.31,0,0,1.25,11.88,0.62
275777,85666,"2006-03-06","08:32",20,15.01,15.86,43.37,1,10,5,5,0,0,0,0,5,0,0,0,0,15,0
532649,143183,"2008-10-30","04:12",71,96.12,83.8,60.11,52.17,5.63,1.41,0,1.41,2.82,0,1.41,0,0,0,0,11.27,4.23,0
379816,84755,"2007-04-23","09:33",82,39.04,86.38,1.17,71.55,12.2,2.44,0,0,9.76,0,3.66,1.22,0,0,0,1.22,18.29,2.44
479725,144587,"2008-04-08","08:49",88,92.84,93.02,5.43,3.73,6.82,1.14,1.14,3.41,0,1.14,2.27,4.55,1.14,2.27,0,1.14,12.5,1.14
313203,77054,"2006-07-26","22:58",57,67.78,50,50.35,58.97,0,0,0,0,0,0,1.75,0,0,0,0,1.75,10.53,0
272298,72197,"2006-03-28","06:57",13,42.69,6.21,17.46,25.77,0,0,0,0,0,0,0,0,0,0,0,0,23.08,0
538038,36107,"2008-11-05","03:20",120,63.05,74.76,23.51,1,8.33,1.67,0,0.83,1.67,4.17,0.83,5.83,0.83,2.5,1.67,2.5,17.5,1.67
191868,47875,"2006-07-23","17:50",108,76.93,79.76,9.03,60.88,5.56,0.93,0.93,0.93,0.93,1.85,1.85,0,0,0,0,2.78,6.48,0
370207,115800,"2007-03-15","15:54",17,1,50,99,98.87,11.76,0,0,11.76,0,0,5.88,0,0,0,0,5.88,17.65,0
150445,47874,"2004-08-28","21:49",35,21.75,71.61,95.88,25.77,8.57,5.71,0,0,0,2.86,0,0,0,0,0,2.86,20,0
266568,54960,"2006-02-01","06:34",141,27.01,44.37,37.87,77.89,12.06,6.38,1.42,0.71,2.84,0.71,3.55,0.71,0,0,0,9.93,9.22,0
